DB,Query,DataSize,Time
MongoDB,FetchPosts,10K,0.03073859214782715
MongoDB,Aggregation,10K,0.10860085487365723
MongoDB,TopUsers,10K,0.04242205619812012
MongoDB,FriendCount,10K,0.03873634338378906
